Aya Text,Sura Number,Sura Name,Aya Number,Number of Ayat,Aya Words,Aya Word Count,Aya Letter Count,Aya Sequ Order,Order,Sura Name EN,Place,Note
بسم الله الرحمن الرحيم,1,الفاتحة,1,7,"['بسم', 'الله', 'الرحمن', 'الرحيم']",4,22,1,5,Al-Faatiha,Mecca,
الحمد لله رب العلمين,1,الفاتحة,2,7,"['الحمد', 'لله', 'رب', 'العلمين']",4,20,2,5,Al-Faatiha,Mecca,
الرحمن الرحيم,1,الفاتحة,3,7,"['الرحمن', 'الرحيم']",2,13,3,5,Al-Faatiha,Mecca,
ملك يوم الدين,1,الفاتحة,4,7,"['ملك', 'يوم', 'الدين']",3,13,4,5,Al-Faatiha,Mecca,
إياك نعبد وإياك نستعين,1,الفاتحة,5,7,"['إياك', 'نعبد', 'وإياك', 'نستعين']",4,22,5,5,Al-Faatiha,Mecca,
اهدنا الصرط المستقيم,1,الفاتحة,6,7,"['اهدنا', 'الصرط', 'المستقيم']",3,20,6,5,Al-Faatiha,Mecca,
صرط الذين أنعمت عليهم غير المغضوب عليهم ولا الضالين,1,الفاتحة,7,7,"['صرط', 'الذين', 'أنعمت', 'عليهم', 'غير', 'المغضوب', 'عليهم', 'ولا', 'الضالين']",9,51,7,5,Al-Faatiha,Mecca,
الم,2,البقرة,1,286,['الم'],1,3,8,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
ذلك الكتب لا ريب فيه هدى للمتقين,2,البقرة,2,286,"['ذلك', 'الكتب', 'لا', 'ريب', 'فيه', 'هدى', 'للمتقين']",7,32,9,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
الذين يؤمنون بالغيب ويقيمون الصلوة ومما رزقنهم ينفقون,2,البقرة,3,286,"['الذين', 'يؤمنون', 'بالغيب', 'ويقيمون', 'الصلوة', 'ومما', 'رزقنهم', 'ينفقون']",8,53,10,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
والذين يؤمنون بما أنزل إليك وما أنزل من قبلك وبالءاخرة هم يوقنون,2,البقرة,4,286,"['والذين', 'يؤمنون', 'بما', 'أنزل', 'إليك', 'وما', 'أنزل', 'من', 'قبلك', 'وبالءاخرة', 'هم', 'يوقنون']",12,64,11,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
أولئك على هدى من ربهم وأولئك هم المفلحون,2,البقرة,5,286,"['أولئك', 'على', 'هدى', 'من', 'ربهم', 'وأولئك', 'هم', 'المفلحون']",8,40,12,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
إن الذين كفروا سواء عليهم ءأنذرتهم أم لم تنذرهم لا يؤمنون,2,البقرة,6,286,"['إن', 'الذين', 'كفروا', 'سواء', 'عليهم', 'ءأنذرتهم', 'أم', 'لم', 'تنذرهم', 'لا', 'يؤمنون']",11,57,13,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
ختم الله على قلوبهم وعلى سمعهم وعلى أبصرهم غشوة ولهم عذاب عظيم,2,البقرة,7,286,"['ختم', 'الله', 'على', 'قلوبهم', 'وعلى', 'سمعهم', 'وعلى', 'أبصرهم', 'غشوة', 'ولهم', 'عذاب', 'عظيم']",12,62,14,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
ومن الناس من يقول ءامنا بالله وباليوم الءاخر وما هم بمؤمنين,2,البقرة,8,286,"['ومن', 'الناس', 'من', 'يقول', 'ءامنا', 'بالله', 'وباليوم', 'الءاخر', 'وما', 'هم', 'بمؤمنين']",11,59,15,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
يخدعون الله والذين ءامنوا وما يخدعون إلا أنفسهم وما يشعرون,2,البقرة,9,286,"['يخدعون', 'الله', 'والذين', 'ءامنوا', 'وما', 'يخدعون', 'إلا', 'أنفسهم', 'وما', 'يشعرون']",10,58,16,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
فى قلوبهم مرض فزادهم الله مرضا ولهم عذاب أليم بما كانوا يكذبون,2,البقرة,10,286,"['فى', 'قلوبهم', 'مرض', 'فزادهم', 'الله', 'مرضا', 'ولهم', 'عذاب', 'أليم', 'بما', 'كانوا', 'يكذبون']",12,62,17,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
وإذا قيل لهم لا تفسدوا فى الأرض قالوا إنما نحن مصلحون,2,البقرة,11,286,"['وإذا', 'قيل', 'لهم', 'لا', 'تفسدوا', 'فى', 'الأرض', 'قالوا', 'إنما', 'نحن', 'مصلحون']",11,53,18,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
ألا إنهم هم المفسدون ولكن لا يشعرون,2,البقرة,12,286,"['ألا', 'إنهم', 'هم', 'المفسدون', 'ولكن', 'لا', 'يشعرون']",7,35,19,87,Al-Baqara,Medina,Except 281 from Mina at the time of the Last Hajj
