Order,Sura Name EN,Sura Number,Place,Note
1,Al-Alaq,96,Mecca,
2,Al-Qalam,68,Mecca,"Except 17-33 and 48-50, from Medina"
3,Al-Muzzammil,73,Mecca,"Except 10, 11 and 20, from Medina"
4,Al-Muddaththir,74,Mecca,
5,Al-Faatiha,1,Mecca,
6,Al-Masad,111,Mecca,
7,At-Takwir,81,Mecca,
8,Al-A'laa,87,Mecca,
9,Al-Lail,92,Mecca,
10,Al-Fajr,89,Mecca,
11,Ad-Dhuhaa,93,Mecca,
12,Ash-Sharh,94,Mecca,
13,Al-Asr,103,Mecca,
14,Al-Aadiyaat,100,Mecca,
15,Al-Kawthar,108,Mecca,
16,At-Takaathur,102,Mecca,
17,Al-Maa'un,107,Medina,Only 1-3 from Mecca; the rest from Medina
18,Al-Kaafiroon,109,Mecca,
19,Al-Fil,105,Mecca,
20,Al-Falaq,113,Mecca,
21,An-Naas,114,Mecca,
22,Al-Ikhlaas,112,Mecca,
23,An-Najm,53,Mecca,"Except 32, from Medina"
24,Abasa,80,Mecca,
25,Al-Qadr,97,Mecca,
26,Ash-Shams,91,Mecca,
27,Al-Burooj,85,Mecca,
28,At-Tin,95,Mecca,
29,Quraish,106,Mecca,
30,Al-Qaari'a,101,Mecca,
31,Al-Qiyaama,75,Mecca,
32,Al-Humaza,104,Mecca,
33,Al-Mursalaat,77,Mecca,"Except 48, from Medina"
34,Qaaf,50,Mecca,"Except 38, from Medina"
35,Al-Balad,90,Mecca,
36,At-Taariq,86,Mecca,
37,Al-Qamar,54,Mecca,"Except 44-46, from Medina"
38,Saad,38,Mecca,
39,Al-A'raaf,7,Mecca,"Except 163-170, from Medina"
40,Al-Jinn,72,Mecca,
41,Yaseen,36,Mecca,"Except 45, from Medina"
42,Al-Furqaan,25,Mecca,"Except 68-70, from Medina"
43,Faatir,35,Mecca,
44,Maryam,19,Mecca,"Except 58 and 71, from Medina"
45,Taa-Haa,20,Mecca,"Except 130 and 131, from Medina"
46,Al-Waaqia,56,Mecca,"Except 81 and 82, from Medina"
47,Ash-Shu'araa,26,Mecca,"Except 197 and 224-227, from Medina"
48,An-Naml,27,Mecca,
49,Al-Qasas,28,Mecca,Except 52-55 from Medina and 85 from Juhfa at the time of the Hijra
50,Al-Israa,17,Mecca,"Except 26, 32, 33, 57, 73-80, from Medina"
51,Yunus,10,Mecca,"Except 40, 94, 95, 96, from Medina"
52,Hud,11,Mecca,"Except 12, 17, 114, from Medina"
53,Yusuf,12,Mecca,"Except 1, 2, 3, 7, from Medina"
54,Al-Hijr,15,Mecca,"Except 87, from Medina"
55,Al-An'aam,6,Mecca,"Except 20, 23, 91, 93, 114, 151, 152, 153, from Medina"
56,As-Saaffaat,37,Mecca,
57,Luqman,31,Mecca,"Except 27-29, from Medina"
58,Saba,34,Mecca,
59,Az-Zumar,39,Mecca,
60,Al-Ghaafir,40,Mecca,"Except 56, 57, from Medina"
61,Fussilat,41,Mecca,
62,Ash-Shura,42,Mecca,"Except 23, 24, 25, 27, from Medina"
63,Az-Zukhruf,43,Mecca,"Except 54, from Medina"
64,Ad-Dukhaan,44,Mecca,
65,Al-Jaathiya,45,Mecca,"Except 14, from Medina"
66,Al-Ahqaf,46,Mecca,"Except 10, 15, 35, from Medina"
67,Adh-Dhaariyat,51,Mecca,
68,Al-Ghaashiya,88,Mecca,
69,Al-Kahf,18,Mecca,"Except 28, 83-101, from Medina"
70,An-Nahl,16,Mecca,Except the last three verses from Medina
71,Nooh,71,Mecca,
72,Ibrahim,14,Mecca,"Except 28, 29, from Medina"
73,Al-Anbiyaa,21,Mecca,
74,Al-Muminoon,23,Mecca,
75,As-Sajda,32,Mecca,"Except 16-20, from Medina"
76,At-Tur,52,Mecca,
77,Al-Mulk,67,Mecca,
78,Al-Haaqqa,69,Mecca,
79,Al-Ma'aarij,70,Mecca,
80,An-Naba,78,Mecca,
81,An-Naazi'aat,79,Mecca,
82,Al-Infitaar,82,Mecca,
83,Al-Inshiqaaq,84,Mecca,
84,Ar-Room,30,Mecca,"Except 17, from Medina"
85,Al-Ankaboot,29,Mecca,"Except 1-11, from Medina"
86,Al-Mutaffifin,83,Mecca,
87,Al-Baqara,2,Medina,Except 281 from Mina at the time of the Last Hajj
88,Al-Anfaal,8,Medina,Except 30-36 from Mecca
89,Aal-i-Imraan,3,Medina,
90,Al-Ahzaab,33,Medina,
91,Al-Mumtahana,60,Medina,
92,An-Nisaa,4,Medina,
93,Az-Zalzala,99,Medina,
94,Al-Hadid,57,Medina,
95,Muhammad,47,Medina,"Except 13, revealed during the Prophet's Hijrah"
96,Ar-Ra'd,13,Medina,
97,Ar-Rahmaan,55,Medina,
98,Al-Insaan,76,Medina,
99,At-Talaaq,65,Medina,
100,Al-Bayyina,98,Medina,
101,Al-Hashr,59,Medina,
102,An-Noor,24,Medina,
103,Al-Hajj,22,Medina,"Except 52-55, revealed between Mecca and Medina"
104,Al-Munaafiqoon,63,Medina,
105,Al-Mujaadila,58,Medina,
106,Al-Hujuraat,49,Medina,
107,At-Tahrim,66,Medina,
108,At-Taghaabun,64,Medina,
109,As-Saff,61,Medina,
110,Al-Jumu'a,62,Medina,
111,Al-Fath,48,Medina,Revealed while returning from Hudaybiyya
112,Al-Maaida,5,Medina,"Except 3, revealed at Arafat on Last Hajj"
113,At-Tawba,9,Medina,Except last two verses from Mecca
114,An-Nasr,110,Medina,"Revealed at Mina on Last Hajj, but regarded as Medina sura"
